,Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
67,Equatorial Guinea,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,379.132435775,378.938771346,378.745205842,378.551739214,378.358371409,378.165102379,377.971932073,377.77886044,377.58588743,377.393012992,377.200237076,377.007559632,376.81498061,376.622499958,376.430117628,376.237833568,376.045647729,375.85356006,375.661570511,375.469679033,375.277885574,375.086190085,374.894592517,374.703092818,374.511690938,374.320386829,374.12918044,373.938071721,373.747060622,373.556147093,373.365331084,373.174612546,372.983991429,372.793467684,372.603041259,372.412712106,372.222480175,372.032345416,371.84230778,371.652367217,371.462523677,371.272777111,371.08312747,370.893574703,370.704118762,370.514759597,370.325497158,370.136331396,369.947262262,369.758289706,369.569413679,369.380634131,369.191951014,369.003364278,368.814873874,368.626479753,368.438181865,368.249980162,368.061874594,367.873865112,367.685951666,367.498134209,367.310412691,367.122787063,366.935257275,366.74782328,366.560485028,366.37324247,366.186095557,365.99904424,365.812088471,365.625228201,365.438463381,365.251793962,365.065219896,364.878741133,364.692357626,364.506069325,364.319876181,364.133778147,363.947775174,363.761867213,363.576054215,363.390336132,363.204712916,363.019184518,362.83375089,362.648411982,362.463167748,362.278018138,362.092963105,361.908002599,361.723136573,361.538364978,361.353687766,361.169104889,360.984616299,360.800221947,360.615921786,360.431715767,360.247603842,360.063585963,359.879662082,359.695832151,359.512096123,359.328453948,359.14490558,358.96145097,358.77809007,358.594822833,358.41164921,358.228569154,358.045582617,357.862689552,357.67988991,357.497183643,357.314570705,357.132051047,356.949624622,356.767291382,356.58505128,356.402904268,356.220850298,356.038889323,355.857021295,355.675246167,355.493563892,355.311974422,355.130477709,354.949073706,354.767762367,368.450411696,375.6431231,385.568874313,401.059904223,407.338222322,418.343536926,426.096408109,433.520043668,451.56396813,490.523466519,529.993716633,582.841971397,661.416005781,752.287054166,844.872237869,869.179564678,915.596002538,935.825462756,896.391027356,860.363149525,779.607161037,672.412257071,700.144827473,741.538883402,850.503200015,954.167513654,958.566812385,1033.53865049,1012.78290928,970.460812423,935.91865345,927.825342739,917.084283631,1103.64119642,920.906862773,936.054698901,966.896814854,1010.40474377,1025.23951649,1027.70638625,1048.47422242,1132.05503425,1172.91416769,1201.4867621,1337.9820502,1684.67801723,2814.48075485,3349.45869498,4623.25706636,5240.45289344,7192.38112702,7703.49590032,8913.55962989,11487.2858973,11999.0,11798.3323457,13607.1214969,15059.5907097,14122.7734789,13383.763401,13603.3383743,13499.2115504
68,Eritrea,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,583.950588489,581.27759549,578.616837929,575.968259799,573.331805351,570.707419089,568.095045772,565.494630411,562.906118269,560.329454861,557.764585949,555.211457546,552.670015909,550.140207544,547.6219792,545.11527787,542.62005079,540.136245438,537.663809531,535.202691026,532.75283812,530.314199243,527.886723066,525.470358492,523.065054657,520.670760932,518.28742692,515.915002453,513.553437592,511.20268263,508.862688084,506.5334047,504.214783448,501.906775522,499.609332341,497.322405546,495.045946998,492.77990878,490.524243194,488.278902759,486.043840214,483.81900851,481.604360819,479.399850522,477.205431217,475.021056713,472.846681031,470.682258401,468.527743265,466.383090271,464.248254277,462.123190344,460.007853744,457.902199949,455.806184637,453.719763688,451.642893186,449.575529413,447.517628853,445.469148189,443.430044302,441.400274271,439.37979537,437.368565071,435.366541037,433.373681128,431.389943396,429.415286085,427.44966763,425.493046656,423.545381978,421.606632598,419.676757709,417.755716686,415.843469095,413.939974684,412.045193385,410.159085315,408.281610772,406.412730239,404.552404375,402.700594023,400.857260203,399.022364115,397.195867136,395.377730819,393.567916894,391.766387265,389.973104013,388.188029389,386.411125819,384.642355902,382.881682405,381.129068268,379.384476599,377.647870677,375.919213948,374.198470023,372.485602684,370.780575875,369.083353707,367.393900455,365.712180557,364.038158615,362.371799391,360.713067809,359.061928956,357.418348075,355.782290571,354.153722006,352.532608099,350.918914728,349.312607926,347.713653881,346.122018936,344.537669589,342.96057249,341.390694443,339.828002403,338.272463477,336.724044921,335.182714143,333.648438699,332.121186293,330.600924779,329.087622155,327.581246569,326.081766311,324.589149819,323.103365676,321.624382605,325.283887615,328.940557125,342.065916579,336.192418035,348.034349786,353.143036024,344.161885859,348.978589974,351.755476673,362.820391463,373.263477422,380.995843342,422.937791187,434.870346663,451.169964094,459.128609067,468.79496986,466.870781293,473.935452193,490.381453817,500.265919303,514.32420817,519.461479309,513.757304933,502.683009955,503.64207574,505.753807715,491.882328728,517.10482035,534.429719667,531.03669192,524.875849336,536.481982761,513.936238465,472.35922429,491.549152822,521.134133266,512.625557882,501.933641103,476.623473057,526.14541397,582.858510156,658.709763765,794.983687109,806.511491319,866.103390895,913.470790019,905.285312043,877.606630406,741.565745079,775.228167588,765.35000148,713.581696009,694.355773202,685.0,655.241394624,642.854684472,562.014933001,566.132167133,561.05000655,591.22468113,613.716963797
69,Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Estonia,764.321280672,765.118119945,765.915789958,766.714291579,767.513625673,768.313793109,769.114794755,769.916631482,770.719304159,771.522813659,772.327160853,773.132346616,773.938371821,774.745237343,775.552944059,776.361492845,777.17088458,777.981120142,778.792200411,779.604126268,780.416898594,785.358852085,790.332100265,795.336841306,800.373274636,805.441600944,810.542022192,815.674741618,820.83996375,826.037894409,831.268740721,836.532711123,841.83001537,847.160864549,852.525471081,857.924048733,863.356812625,868.82397924,874.325766432,879.862393434,885.434080868,891.041050751,896.683526509,902.36173298,908.075896428,913.826244549,919.61300648,925.43641281,931.296695589,937.194088334,943.128826042,949.101145199,955.111283788,961.159481299,967.245978736,973.371018635,979.534845061,985.73770363,991.979841511,998.261507438,1004.58295172,1010.94442625,1017.34618452,1023.78848163,1030.27157428,1036.79572082,1043.3611812,1049.96821706,1056.61709166,1063.30806995,1070.04141854,1076.81740575,1083.63630159,1090.49837776,1097.4039077,1104.3531666,1111.34643135,1118.38398062,1125.46609484,1132.59305622,1139.76514875,1146.98265822,1154.24587223,1161.5550802,1168.91057339,1176.3126449,1130.8826393,1322.33766289,1272.04015669,1182.8026457,1177.9351451,1078.96263291,1181.1801455,1338.56266488,1521.90518747,1408.33017348,1551.11019107,1525.15018787,1565.71269286,1661.44020466,1625.74520026,1666.30770526,1810.71022304,1685.77770765,1864.25272964,1650.08270326,1577.07019426,1515.41518667,1654.95020386,1718.22771165,1833.42522584,1693.89020865,1830.18022544,1922.66273683,1835.98531837,1889.56772251,1679.96596513,1475.01011739,1180.00809391,1085.6074464,1411.28968032,1622.98313236,1866.43060222,1997.08074437,2031.09400006,2126.20944207,2184.30453837,2335.27163104,2472.36568112,2481.11682123,2434.37339898,2356.71428457,2328.55568583,2467.26006687,2729.11403483,2824.35414532,2994.32157589,3142.63568519,3278.03696309,3112.05867611,2941.02418153,2885.8319785,2831.67553005,2778.53539888,2726.39251246,2675.22815617,2625.02396659,2916.64395105,3295.19761977,3599.0538073,3898.39695408,3849.547593,4028.98540411,4133.18041019,4261.52714619,4545.07363959,4892.89613135,4905.87917365,5182.06824092,5033.88418436,5412.88713904,5622.10440398,5680.25277968,5467.56667666,6090.03122313,6357.23439586,6590.54557549,6809.03968004,7136.85375141,7168.95565509,7648.75045354,7775.293643,7741.88488806,8313.11440331,8519.94737396,8510.15127613,8875.97052988,9053.18717104,9250.08980587,9179.11309924,9165.65383452,9224.16521884,9424.26070947,9695.7824638,9781.22396878,9834.60581112,10204.6778682,10304.8684208,10496.9637959,10658.8170673,10389.8193708,9409.44704017,8245.73183478,7733.48269157,7733.63121305,8199.1168627,8680.18371202,9689.84331508,10283.7869177,10356.4152471,11244.4862363,12050.1713879,13011.4387568,13770.1899089,15014.2170122,16654.0,18374.1449577,19784.2449681,18983.7765251,16318.6652079,16865.759551,18261.7425256,18858.0538248
71,Ethiopia,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,619.212876099,616.556481761,613.91148323,611.277831619,608.655478251,606.044374657,603.444472575,600.855723952,598.278080939,595.711495895,593.15592138,590.611310161,588.077615206,585.554789683,583.042786965,580.541560621,578.051064421,575.571252333,573.102078524,570.643497355,568.195463384,565.757931365,563.330856245,560.914193163,558.507897453,556.11192464,553.726230438,551.350770753,548.985501679,546.630379499,544.285360684,541.950401889,539.625459959,537.310491921,535.005454988,532.710306556,530.425004204,528.149505692,525.883768962,523.627752137,521.38141352,519.14471159,516.917605006,514.700052607,512.492013403,510.293446584,508.104311515,505.924567733,503.75417495,501.593093051,499.441282092,497.298702302,495.165314079,493.041077992,490.925954778,488.819905345,486.722890765,484.63487228,482.555811297,480.485669388,478.424408292,476.371989909,474.328376306,472.29352971,470.26741251,468.249987259,466.241216668,464.241063608,462.249491113,460.26646237,458.291940728,456.325889692,454.368272923,452.419054238,450.478197611,448.545667168,446.62142719,444.705442112,442.797676521,440.898095155,439.006662904,437.12334481,435.248106062,433.380912001,431.521728115,429.670520042,427.827253564,425.991894614,424.164409268,422.344763749,420.532924424,418.728857805,416.932530548,415.143909451,413.362961455,411.589653643,409.823953239,408.065827607,406.315244252,404.572170817,402.836575087,401.108424981,399.387688558,397.674334015,395.968329682,394.269644028,392.578245657,390.894103305,389.217185846,387.547462284,385.884901759,384.22947354,382.581147032,380.939891767,379.30567741,377.678473757,376.058250732,374.444978388,372.838626906,371.239166598,369.6465679,368.060801376,366.481837716,364.909647737,363.344202379,361.785472709,360.233429916,358.688045315,357.149290341,355.617136554,354.091555636,358.120478479,362.146279585,376.596611085,370.130197627,383.167542624,388.791937896,378.904163197,384.207101485,387.264307917,399.446198044,410.943487282,419.456416107,465.632298167,478.769415126,496.714437968,505.476488147,516.118643766,514.0002132,521.77804487,539.884229021,550.766506454,566.243944247,571.899809995,565.619813553,553.427596333,554.483477397,556.808383408,541.536613482,569.305252238,588.379056595,584.643511226,577.860747067,590.63849049,565.816809976,520.042700722,541.169804306,573.741314165,564.373819482,552.602580578,524.737414684,489.832966315,421.35346531,462.35653185,460.141323859,471.413656668,512.786861265,515.889401275,481.463768897,496.867975524,512.361506875,537.416570479,530.053531865,498.418494544,549.604614131,591.0,644.194886319,704.191863623,765.941212073,824.774480865,871.837115617,917.482560793,958.694705985
72,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39495.736677,,,,,,,
73,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26101.5808264,,,,,,,
74,Fiji,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,472.117608435,473.650783155,475.188936773,476.732085455,478.280245424,479.833432953,481.391664369,482.954956052,484.523324434,486.096786003,487.675357297,489.25905491,490.84789549,492.441895739,494.041072411,495.645442317,497.255022323,498.869829346,500.489880362,502.115192401,503.745782546,505.381667939,507.022865776,508.669393308,510.321267843,511.978506746,513.641127436,515.309147391,516.982584145,518.661455289,520.345778469,522.035571392,523.730851821,525.431637574,527.137946532,528.849796629,530.567205861,532.29019228,534.018773999,535.752969187,537.492796073,539.238272948,540.989418158,542.746250111,544.508787274,546.277048176,548.051051402,549.830815602,551.616359484,553.407701817,555.20486143,557.007857216,558.816708126,560.631433176,562.452051441,564.278582058,566.111044229,567.949457214,569.79384034,571.644212994,573.500594626,575.363004751,577.231462945,579.10598885,580.986602169,582.873322672,584.766170191,586.665164623,588.57032593,590.481674138,592.39922934,594.323011692,596.253041415,598.1893388,600.131924198,602.080818031,604.036040783,605.997613009,607.965555328,609.939888426,611.920633057,613.907810042,615.90144027,617.901544697,619.908144348,621.921260315,623.940913761,625.967125915,627.999918075,630.039311612,632.085327961,634.13798863,636.197315197,638.263329308,654.215177166,670.565702872,687.324870413,704.502892804,722.110238308,740.157636818,758.656086394,777.616859967,797.051512207,816.971886563,837.390122487,858.318662822,879.770261393,901.757990777,924.295250264,947.395774031,971.073639506,995.343275948,1020.21947324,1045.71739091,1071.85256734,1098.64092928,1126.09880153,1154.24291686,1183.09042628,1212.65890941,1242.96638524,1274.03132311,1305.87265395,1338.50978183,1371.96259576,1406.25148185,1441.3973357,1477.42157514,1514.3461533,1552.19357197,1590.9868953,1630.74976391,1671.50640922,1713.28166829,1756.10099889,1799.99049508,1844.97690305,1891.08763746,1938.35079812,1986.79518715,2036.45032649,2037.50010293,2039.39327719,2096.89627855,2130.13112772,2013.00646561,1960.74692769,2170.07328531,2290.59297244,2300.61926659,2538.95512916,2657.58110086,2797.75948389,3059.31686883,3076.71123048,3033.46152204,3059.19183488,3182.5695999,3183.86029118,3504.11877293,3374.55675931,3502.68149031,3209.25746783,3005.77387728,3189.48349935,2995.2501103,3197.95847481,2974.85022735,3000.08191817,3217.63773431,3280.61324035,3344.82130104,3410.2860399,3451.92401875,3579.65238207,3625.41111481,3760.19061668,3643.62920752,3660.50295998,3952.05869973,3856.31667888,3905.92520168,4004.48197153,4019.14080005,4205.95634975,4209.0,4249.44240258,4177.25789975,4185.99726161,4099.10975478,4074.62026113,4130.11554136,4195.03497179
75,Finland,1037.68770648,1039.44489898,1041.20506706,1042.96821576,1044.73435013,1046.50347523,1048.27559611,1050.05071786,1051.82884555,1053.60998428,1055.39413913,1057.18131523,1058.97151768,1060.76475161,1062.56102216,1064.36033447,1066.16269368,1067.96810495,1069.77657347,1071.58810439,1073.40270291,1078.92279145,1084.47126763,1090.04827744,1095.65396762,1101.28848567,1106.95197983,1112.64459912,1118.36649331,1124.11781296,1129.89870939,1135.70933469,1141.54984176,1147.42038426,1153.32111666,1159.25219421,1165.21377296,1171.20600977,1177.22906229,1183.28308902,1189.36824922,1195.48470301,1201.63261132,1207.81213591,1214.02343937,1220.26668512,1226.54203744,1232.84966142,1239.18972304,1245.56238911,1251.96782729,1258.4416294,1264.94890691,1271.4898329,1278.06458138,1284.67332723,1291.31624625,1297.99351516,1304.70531156,1311.451814,1318.23320194,1316.39465687,1231.82758991,1316.15530604,1331.16878649,1307.64673509,1316.86394612,1217.49987064,1379.02187854,1513.87735342,1566.35292803,1548.70394825,1573.70819831,1640.17997747,1654.91706507,1664.62664655,1730.67640716,1664.64791158,1611.8253273,1604.45543509,1587.16905589,1525.63996226,1653.22101831,1690.22125813,1675.83826086,1692.17451121,1753.02251298,1753.071451,1789.83615084,1823.2339302,1898.07222565,1855.94745766,1759.04717675,1842.9061053,1923.33654253,2051.11769034,2157.69369241,2232.25845556,2292.73548046,2208.6119169,2293.12386331,2248.72834565,2187.0535443,2316.91299713,2379.03145168,2393.92537548,2466.08646123,2521.28093018,2513.65314718,2589.74620706,2620.18144756,2665.10266675,2779.54615642,2900.86077322,2749.60554074,2586.13760914,2601.74979571,2172.74007628,1882.62615218,2279.03516152,2536.45692061,2589.95164009,2828.49107464,3005.49033987,3056.67831096,3199.82151782,3287.25125806,3514.44795,3720.76651991,3733.93647668,3663.59034549,3546.71789614,3504.34084317,3713.08286749,4107.15785587,4250.48868157,4506.27977669,4729.48388299,4933.25492925,4683.46726316,4426.07029877,4565.97601405,4572.7962884,5080.70133615,5064.00818672,4740.94129386,5061.82522328,5108.35267774,5438.68460459,5694.40506954,5845.62631572,6282.55391559,6424.51907128,6393.11542925,6874.02720587,7142.39452853,7277.78415797,7545.41538647,7523.80765302,7907.51714849,8562.87329834,9150.50109429,9371.84256074,9612.39764565,10042.2192981,10540.9352501,10753.8233474,10921.6362622,11122.8428325,12201.1506103,13162.2452197,13420.3936102,14358.8758988,15235.1329206,15614.7234192,15724.6828864,15610.7483498,15605.422834,15886.307225,16948.2160062,17796.7727385,18051.1680588,18533.1576084,18920.8962831,19387.9709755,19958.813741,20367.5488425,21141.0122311,22110.8846968,23289.7991631,23180.7824905,21581.7498901,20647.1649873,20294.8084033,21005.5425389,21650.1454087,22402.4962812,23723.9502032,25004.3223663,25915.2643784,27171.9661144,27825.5290978,28204.5905741,28650.0274187,29651.4044966,30469.0,31684.202673,33226.4645761,33162.4027331,30188.4749149,31053.3970302,31762.3177385,31551.953446
76,France,1388.32068529,1394.08026394,1399.86373673,1405.67120281,1411.5027617,1417.35851336,1423.23855816,1429.14299688,1435.07193071,1441.02546128,1447.00369063,1453.00672123,1459.03465596,1465.08759815,1471.16565153,1477.26892029,1483.39750904,1489.5515228,1495.73106708,1501.93624777,1508.16717123,1605.15294507,1488.90407734,1484.46222692,1450.72956102,1461.26073929,1507.23854666,1517.77484713,1424.54903255,1505.30684961,1478.20502725,1468.17687358,1575.77773139,1575.20720172,1556.85406509,1638.98739308,1670.86762914,1691.88379719,1728.94708874,1702.64028531,1833.2923686,1782.24699825,1748.42047567,1814.96336947,1869.78640037,1937.81258349,2061.01455982,2247.78389299,1754.95841775,1751.732015,1840.71473642,1810.27247826,2049.40453887,2279.87897156,2558.73302402,2699.62311375,2804.18895713,2709.43454963,2530.47299307,2537.44397545,2704.03096489,2763.28506664,2864.79581053,2947.49079024,3001.40968017,2952.31753393,3078.83764818,3035.74672047,3248.74635742,3053.01701674,2952.12387121,3094.69916331,3265.23739331,3226.9169335,3368.09258176,3305.8108759,3271.13371184,3263.77519283,3086.78930161,3061.22078822,3251.84602172,3467.15616305,3592.00603182,3442.58483167,3268.7517826,3178.76099384,3144.1799127,3176.37244396,3256.96049631,3273.5604155,3400.85865495,3444.97000004,3524.92819073,3398.77946109,3737.14524008,3668.1918182,3791.59682266,3688.84095698,3914.42727626,4060.44065298,4120.19673006,3923.77308539,3882.53795274,4018.38594304,4104.5238245,4215.49821873,4163.4026985,4506.34632664,4497.65340823,4648.42754858,4431.66992045,4874.60659128,5269.94951071,5216.05620456,4366.67917844,3838.35246514,4391.90972373,4343.65043703,3715.95674759,4091.01354925,4363.6600459,4138.92642006,4952.53337554,5174.87906122,5731.07380566,5758.3126625,5943.22543895,5809.1909669,6139.65291623,6647.67815598,6404.85350593,6109.10080505,5562.21313959,5715.58177339,5506.13645377,5360.76475906,5427.12442722,5543.15690373,5395.34633413,5609.13898315,4419.43189302,4268.29005643,4290.23011717,4272.40995726,3266.22758136,4011.6490681,5348.0663887,5625.06482499,6298.457663,6625.97517835,7104.00732497,7436.27959565,7550.90867742,7692.44208143,8019.09234567,8399.73839012,8786.3078845,9242.42487549,9434.97802091,9619.51133198,10244.4207216,10686.6631166,11191.286073,11579.2871262,12197.9654246,12650.5919322,13187.0502028,13683.8067577,14146.1485975,15000.5748484,15703.7133915,16284.717021,16840.5541607,17597.0766649,18004.4982697,17848.2478245,18509.5773519,18996.913375,19524.405872,20102.0229943,20334.468553,20488.6759205,20933.5291518,21265.1644667,21488.645855,21805.9621328,22218.5640208,22608.9048023,23523.5130669,24186.1031725,24676.7336519,24847.9299051,25140.9175602,24731.223361,25117.8471068,25556.8500637,25717.1983664,26170.7452704,26957.9186739,27689.4592996,28636.154364,28983.7220164,29043.3518109,29048.8777219,29505.8800564,29644.0,30159.6796177,30652.6630543,30459.7213215,29345.255311,29691.2416338,30039.0814359,29896.4182239
77,French Guiana,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,819.269074416,824.682661815,830.132021256,835.617389117,841.139003333,846.697103414,852.291930453,857.923727135,863.592737748,869.299208197,875.043386009,880.825520348,886.645862024,892.504663504,898.402178924,904.3386641,910.314376535,916.329575439,922.384521729,928.47947805,934.614708781,940.790480048,947.007059737,953.264717502,959.56372478,965.904354802,972.286882602,978.711585035,985.178740784,991.688630371,998.241536175,1004.83774244,1011.47753529,1018.16120273,1024.88903468,1031.66132298,1038.47836138,1045.34044558,1052.24787323,1059.20094397,1066.19995939,1073.24522308,1080.33704065,1087.47571971,1094.66156993,1101.89490299,1109.17603265,1116.50527475,1123.88294721,1131.30937005,1138.78486539,1146.3097575,1153.88437279,1161.50903982,1169.18408932,1176.90985422,1184.68666962,1192.51487286,1200.39480351,1208.32680337,1216.3112165,1224.34838925,1232.43867023,1240.58241038,1248.77996294,1257.03168351,1265.33793001,1273.69906274,1282.11544438,1290.58744001,1299.1154171,1307.69974559,1316.34079782,1325.03894862,1333.79457529,1342.60805761,1351.47977789,1360.41012095,1369.39947417,1378.44822746,1387.55677334,1396.72550691,1405.95482587,1415.24513057,1424.59682398,1434.01031175,1443.48600222,1453.02430639,1462.62563802,1472.29041357,1482.01905228,1491.81197614,1501.66960993,1511.59238126,1534.10437478,1556.95163716,1580.13916153,1603.67201537,1627.55534164,1651.79435988,1676.3943674,1701.36074035,1726.69893499,1752.41448881,1778.5130218,1805.00023761,1831.88192487,1859.16395841,1886.85230052,1914.95300234,1943.47220508,1972.41614145,2001.79113695,2031.60361131,2061.86007986,2092.56715496,2123.73154744,2155.36006808,2187.45962912,2220.03724568,2253.10003742,2286.65523,2320.71015669,2355.27225999,2390.34909321,2425.94832219,2462.07772692,2498.74520324,2535.9587646,2573.72654379,2612.05679473,2729.99407634,2853.25635793,2982.08406921,3116.72849554,3257.45226809,3404.52987614,3558.24820247,3718.90708291,3886.81989124,4062.3141504,4245.73217137,4437.43172084,4637.78671907,4847.18796924,5066.04391973,5294.78146082,5533.84675736,5783.70611904,6044.84690997,6317.77849926,6603.03325464,6901.16758082,7212.7630048,7212.6377157,7212.51242878,7212.38714403,7212.26186146,7212.13658107,7212.01130285,7211.88602681,7211.76075295,7211.63548126,7211.51021175,7211.38494441,7211.25967925,7211.13441627,7211.00915546,7210.88389683,7210.75864037,7210.63338609,7318.93939381,7428.87219223,7540.45621625,7653.71626783,7768.67752141,7885.3655296,8003.8062288,8124.02594499,8246.05139956,8369.90971529,8495.62842233,8869.8487455,8344.72142889,7910.71871985,8202.73826246,,,,,,,
78,French Polynesia,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,809.344471602,811.972771123,814.609605896,817.255003637,819.908992155,822.571599348,825.242853204,827.922781803,830.611413316,833.308776005,836.014898223,838.729808418,841.453535127,844.186106981,846.927552705,849.677901116,852.437181124,855.205421736,857.982652049,860.768901258,863.56419865,866.36857361,869.182055616,872.004674242,874.83645916,877.677440136,880.527647033,883.387109814,886.255858535,889.133923352,892.021334519,894.918122387,897.824317407,900.739950127,903.665051197,906.599651364,909.543781476,912.49747248,915.460755426,918.433661463,921.41622184,924.40846791,927.410431127,930.422143047,933.443635327,936.47493973,939.516088118,942.567112461,945.62804483,948.6989174,951.779762451,954.87061237,957.971499645,961.082456873,964.203516755,967.3347121,970.476075821,973.627640939,976.789440583,979.96150799,983.143876503,986.336579573,989.539650764,992.753123743,995.97703229,999.211410295,1002.45629176,1005.71171078,1008.97770159,1012.25429852,1015.54153601,1018.83944861,1022.148071,1025.46743794,1028.79758434,1032.1385452,1035.49035563,1038.85305087,1042.22666628,1045.6112373,1049.00679953,1052.41338864,1055.83104046,1059.25979091,1062.69967602,1066.15073197,1069.61299502,1073.08650157,1076.57128813,1080.06739133,1083.57484793,1087.09369479,1090.62396891,1094.16570739,1150.1452689,1208.98884936,1270.84297731,1335.861678,1404.20685686,1476.04870275,1551.56611168,1630.94713232,1714.38943426,1802.10080023,1894.29964354,1991.2155519,2093.08985917,2200.17624631,2312.74137305,2431.06554196,2555.44339637,2686.18465416,2823.61487892,2968.07629071,3119.92861818,3279.54999439,3447.33789838,3623.71014497,3809.10592516,4003.9868998,4208.83834913,4424.17038129,4650.51920245,4888.44845213,5138.55060668,5401.44845465,5677.79664763,5968.28333038,6273.63185446,6594.60257943,6931.99476627,7286.64856764,7659.44712,8051.31874269,8463.23924962,8896.23437916,9351.38234838,9829.81653793,10332.7283143,10861.3699967,11417.057975,12001.1759884,12615.1785704,13260.5946715,13939.031466,14652.1783543,15501.463685,14244.0228179,15788.2143871,14827.4797039,14559.8307134,15778.5085095,14567.1562408,15221.1145734,17414.3763417,16058.0582403,16850.7665239,16682.1068205,17781.6525368,17930.5366028,17487.1001997,18420.3471505,19673.4875727,20154.2928052,20668.0153339,21218.4173566,22429.0613398,23454.4080607,23470.7744928,23644.3560634,23649.5936605,24294.3597488,24021.2019237,23573.7351173,23307.7503634,22982.7317399,22624.676426,22634.0612565,23607.7014602,24121.4485695,24659.0056055,24575.0604861,25224.3296869,25627.5837728,25652.8087028,26016.1094711,25984.3789284,26209.3571713,26351.2514647,26452.7785602,26564.3152597,26703.0132858,
